Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bulgaria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,99,100,99,
Croatia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cyprus,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,100,99,99,99,99,99,99,100,99,99,99,99,99,99,99,100,100,100,99,100,99,99,100,
Czechia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Denmark,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,99,100,99,99,100,100,98,99,100,100,100,100,100,100,100,100,100,100,100,100,
Finland,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
France,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),93,93,92,94,95,96,94,93,90,95,96,97,97,97,98,98,98,98,99,99,99,99,99,99,
Germany,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Greece,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,98,100,100,100,100,100,100,100,100,
Hungary,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
