Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,Internal transfers and grants,Million NCU,"9,846","15,746","15,966","19,599","24,691","33,159","42,138","50,826","53,100","56,917","58,349","63,200","67,332","62,670","72,694","81,213","82,959","76,373","74,291","92,370","145,691","153,028","145,830","139,195",
Austria,Internal transfers and grants,Million NCU,"5,800","6,017","6,180","6,383","6,644","7,014","7,497","7,865","8,623","9,050","9,389","9,605","10,118","10,137","10,437","10,721","11,094","12,912","13,603","14,263","16,090","20,429","19,495","19,720",
Azerbaijan,Internal transfers and grants,Million NCU,41,43,45,55,74,112,163,258,347,404,430,495,611,620,667,710,694,685,696,786,"1,519",336,311,418,
Belarus,Internal transfers and grants,Million NCU,39,76,110,166,227,304,327,401,467,495,656,949,"1,886","2,393","2,718","3,315","3,981","4,209","4,770","5,558","6,799","8,438","8,609","10,216",
Belgium,Internal transfers and grants,Million NCU,"6,222","6,606","6,821","7,212","9,373","10,256","10,786","11,251","12,207","12,934","14,187","14,931","15,528","16,134","16,634","17,413","19,352","18,758","19,488","19,458","24,094","24,589","23,679","24,093",
Bosnia and Herzegovina,Internal transfers and grants,Million NCU,24,24,27,33,54,59,61,62,56,59,41,28,56,67,83,51,99,97,102,72,157,223,51,126,
Bulgaria,Internal transfers and grants,Million NCU,853,768,852,819,800,853,585,629,809,858,907,893,684,606,632,673,729,786,870,944,"1,665","1,826","2,474","2,407",
Croatia,Internal transfers and grants,Million NCU,39,36,32,32,37,347,464,738,697,684,732,162,163,78,87,116,178,226,242,195,379,445,537,422,
Cyprus,Internal transfers and grants,Million NCU,231,255,296,316,307,329,369,398,468,505,569,596,576,561,507,505,524,550,614,722,951,"1,082","1,122","1,169",
Czechia,Internal transfers and grants,Million NCU,"9,747","10,780","11,936","13,804","12,888","11,579","14,094","12,400","12,842","15,201","34,253","32,906","33,154","34,902","36,846","38,126","39,994","45,572","51,279","56,834","91,933","89,524","80,781","76,069",
Denmark,Internal transfers and grants,Million NCU,"89,372","96,643","102,854","107,340","113,336","120,738","129,364","135,733","143,963","155,258","161,875","161,327","168,220","168,348","172,469","177,478","181,903","185,923","190,557","196,398","209,817","231,202","227,509","222,213","231,923"
Estonia,Internal transfers and grants,Million NCU,28,32,32,58,60,75,89,109,128,123,110,121,137,152,151,168,171,196,237,269,435,630,576,609,
Finland,Internal transfers and grants,Million NCU,"5,891","6,472","7,185","7,742","8,392","9,028","9,671","10,184","10,929","11,276","11,580","12,508","13,331","13,762","13,928","13,773","13,654","14,660","15,146","15,862","16,558","18,001","19,183","21,508",
France,Internal transfers and grants,Million NCU,"17,114","18,035","19,289","19,828","20,936","21,700","24,085","25,376","26,772","28,753","28,767","29,694","30,957","32,179","29,057","30,282","37,661","40,296","30,170","63,514","69,698","91,343","91,564","89,920","92,479"
